symbol,date,order_type,side,fees,quantity,average_price
FIG,2025-07-31T18:05:45.750000Z,market,sell,0,1.00000000,98.02000000
RGTI,2025-07-02T16:18:34.608000Z,market,sell,0.02,100.00000000,12.08000000
RDFN,2025-05-07T15:54:28.961000Z,market,sell,0.05,100.00000000,8.94320000
SOFI,2025-05-07T13:48:34.884000Z,market,sell,0.06,100.00000000,12.99350000
QQQ,2025-05-07T13:47:53.090000Z,market,sell,0.05,3.50000000,482.72000000
QQQ,2025-05-02T14:12:17.469657Z,market,sell,0,0.33250400,487.55000000
QQQ,2025-05-02T14:06:05.147000Z,market,sell,0,1.00000000,487.49500000
QQQ,2025-05-01T14:34:31Z,market,buy,0,0.00417400,483.91430000
GOOGL,2025-04-28T13:32:47.094000Z,market,sell,0,1.81025000,162.69000000
GOOGL,2025-04-07T13:30:08.193000Z,market,buy,0,0.81025000,141.24000000
GOOGL,2025-04-07T04:34:51.798000Z,limit,buy,0,1.00000000,139.50000000
QQQ,2025-04-07T04:32:22.897000Z,limit,buy,0,2.00000000,403.50000000
GOOGL,2025-03-03T12:40:52.880000Z,limit,sell,0.04,8.00000000,171.38000000
MARA,2025-03-03T12:39:16.424000Z,limit,sell,0.07,100.00000000,15.40090000
GOOGL,2025-02-28T14:53:45.029000Z,market,buy,0,8.00000000,168.68500000
QQQ,2025-02-27T15:26:18.869000Z,market,buy,0,2.82833000,512.67000000
ASTS,2025-01-13T14:30:00.543000Z,market,sell,0.07,100.00000000,21.55150000
ASTS,2024-11-11T15:04:57.301000Z,market,sell,0.09,100.00000000,23.40560000
NKLAQ,2024-09-20T17:43:36.874404Z,market,sell,0.02,98.91697000,4.98030000
NKLAQ,2024-09-06T13:34:01.818181Z,market,sell,0.04,101.08303000,5.53030000
NVDA,2024-08-05T15:22:20.669000Z,market,sell,0,3.00000000,101.61500000
NVDA,2024-08-05T13:47:22.575000Z,limit,buy,0,3.00000000,98.83000000
MSFT,2024-05-28T20:12:15.639955Z,limit,sell,0,0.81454000,430.08000000
AAPL,2024-05-28T18:10:40.048295Z,market,sell,0,2.04171400,190.34000000
AAPL,2024-05-17T14:30:48Z,market,buy,0,0.00268000,190.25000000
SOFI,2024-05-06T16:17:43.970000Z,market,sell,0.03,100.00000000,7.20510000
MSFT,2024-03-22T13:30:02.958384Z,market,buy,0,0.81454000,429.69000000
AAPL,2024-03-22T13:30:06.943537Z,market,buy,0,2.03903400,171.65000000
TSM,2024-03-21T13:30:03.425375Z,market,sell,0,0.16645800,142.60000000
NVDA,2024-03-21T13:30:03.186359Z,market,sell,0,0.00491600,923.00000000
MSFT,2024-03-21T13:30:03.823077Z,market,sell,0,0.00743100,430.00000000
TSM,2024-02-06T14:30:53.035113Z,market,buy,0,0.16645800,120.15000000
